lon,lat,Nome
-44.31638899999996,-23.01194299932041,Porto de Angra dos Reis
-48.693333,-25.44416699926734,Porto de Antonina
-38.49694299999994,-12.7811099995924,Porto de Aratu
-37.04472199999992,-4.817776999841839,Porto de Areia Branca
-48.49777699999999,-1.445277999952215,Porto de Belém
-34.83861100000001,-6.973054999772233,Porto de Cabedelo
-51.95944300000002,-29.47360999919125,Porto de Estrela
-42.01555500000001,-22.97027799932133,Porto de Forno
-38.47361000000001,-3.709721999877995,Porto de Fortaleza
-39.02638899999994,-14.77833199953402,Porto de Ilhéus
-48.65416699999997,-28.23138899921304,Porto de Imbituba
-43.83777800000001,-22.93027799932229,Porto de Itaguaí (Sepetiba)
-48.66638899999992,-26.90083199923805,Porto de Itajaí
-44.36861099999993,-2.578332999915068,Porto de Itaqui
-48.76972199999989,-28.49666599920822,Porto de Laguna
-51.166944,-0.06083199999799863,Porto de Santana
-35.72638799999999,-9.683055999686749,Porto de Maceió
-60.02611100000001,-3.13749999989672,Porto de Manaus
-35.20499899999998,-5.772776999810924,Porto de Natal
-43.11610999999999,-22.88222099932342,Porto de Niterói
-48.50555499999996,-25.50222099926617,Porto de Paranaguá
-52.333888,-31.78194299915472,Porto de Pelotas
-51.21111099999996,-30.00722099918234,Porto de Porto Alegre
-63.91527799999994,-8.748888999715907,Porto de Porto Velho
-34.86833199999995,-8.053887999737912,Porto de Recife
-43.19527799999998,-22.89222199932307,Porto de Rio de Janeiro
-52.07555500000001,-32.04249899915095,Porto de Rio Grande
-38.50944399999997,-12.96527699958694,Porto de Salvador
-54.73749900000001,-2.414999999920468,Porto de Santarém
-46.291944,-23.96166599929908,Porto de Santos
-45.39749999999992,-23.81111099930241,Porto de São Sebastião
-48.63472100000002,-26.23888899925112,Porto de São Francisco do Sul
-34.96861100000001,-8.391943999727216,Porto de Suape
-48.74777699999992,-1.544166999949057,Porto de Vila do Conde
-40.33944400000002,-20.32249999938481,Porto de Vitória
-40.0583989999999,-19.83849899939697,Porto de Barra do Riacho
-52.87899900000002,-30.05179999918156,Porto de Cachoeira do Sul
