region_id,nome,latitude,longitude
1100015,Alta Floresta D'Oeste,-12.470826495671773,-62.274712468967095
1100023,Ariquemes,-9.951873229026003,-62.95750385077323
1100031,Cabixi,-13.474532457387074,-60.639772150130455
1100049,Cacoal,-11.30145553404878,-61.3248814331811
1100056,Cerejeiras,-13.203224544120118,-61.2602359857782
1100064,Colorado do Oeste,-13.159474418611817,-60.54991831617535
1100072,Corumbiara,-12.926408088770224,-61.091547260549255
1100080,Costa Marques,-12.14702308050225,-64.05903067648231
1100098,Espigão D'Oeste,-11.35113629649632,-60.78486279946174
1100106,Guajará-Mirim,-11.305506258157244,-64.53768665205234
1100114,Jaru,-10.59196267526466,-62.584558050771136
1100122,Ji-Paraná,-10.461918158252058,-61.757267930538774
1100130,Machadinho D'Oeste,-9.204457744698274,-62.01076462751723
1100148,Nova Brasilândia D'Oeste,-11.643664758324999,-62.280347322161205
1100155,Ouro Preto do Oeste,-10.610323112757372,-62.17242152766741
1100189,Pimenta Bueno,-11.894349767350961,-60.830334259606595
1100205,Porto Velho,-9.153706686247924,-64.3068030996416
1100254,Presidente Médici,-11.166544066481267,-61.87777133651721
1100262,Rio Crespo,-9.645295716320776,-62.79000813625771
1100288,Rolim de Moura,-11.732614217646086,-61.77121221552711
1100296,Santa Luzia D'Oeste,-12.026934313467471,-61.70100995489804
1100304,Vilhena,-12.09574397427241,-60.24841342962373
1100320,São Miguel do Guaporé,-11.614944721298299,-62.98348361529895
1100338,Nova Mamoré,-10.382049854577458,-64.62906789448797
1100346,Alvorada D'Oeste,-11.311368107118367,-62.54525785926538
1100379,Alto Alegre dos Parecis,-12.5933613096599,-61.88027560927147
1100403,Alto Paraíso,-9.649911352845029,-63.393725266160324
1100452,Buritis,-10.052161069953206,-63.94135277252366
1100502,Novo Horizonte do Oeste,-11.681370585475761,-62.08272725635987
1100601,Cacaulândia,-10.331673897157456,-62.98729152878719
1100700,Campo Novo de Rondônia,-10.485414343183606,-63.799068571547714
1100809,Candeias do Jamari,-8.886748874491845,-63.325855408415165
1100908,Castanheiras,-11.470724459814537,-61.88023604306843
1100924,Chupinguaia,-12.537136235362532,-60.898269720708136
1100940,Cujubim,-9.170824562652614,-62.5655948959294
1101005,Governador Jorge Teixeira,-10.748029749646685,-63.18438430781277
1101104,Itapuã do Oeste,-9.170602727179194,-63.044899083077276
1101203,Ministro Andreazza,-11.160150780388621,-61.56886430473081
1101302,Mirante da Serra,-11.076980943082338,-62.848124313359754
1101401,Monte Negro,-10.210432233643123,-63.37214909224523
1101435,Nova União,-10.889407251396351,-62.53242069708775
1101450,Parecis,-12.262521945489496,-61.41551651587695
1101468,Pimenteiras do Oeste,-13.174543233662723,-61.544932013348294
1101476,Primavera de Rondônia,-11.87906858645108,-61.315440406977544
1101484,São Felipe D'Oeste,-11.905140273064701,-61.46683357286095
1101492,São Francisco do Guaporé,-12.368354428800997,-63.1222133574628
1101500,Seringueiras,-11.806989807999242,-63.230884527269076
1101559,Teixeirópolis,-10.94347337993967,-62.280042432575875
1101609,Theobroma,-10.121612876066846,-62.34241493048857
1101708,Urupá,-11.103937564088497,-62.4230249180202
1101757,Vale do Anari,-9.732128590669697,-61.938902540982774
1101807,Vale do Paraíso,-10.384698959374695,-62.09420668143542
1200013,Acrelândia,-9.934291424170215,-66.95033103329172
1200054,Assis Brasil,-10.77988599029428,-70.00623163480492
1200104,Brasiléia,-10.747293799369677,-69.20660773908861
1200138,Bujari,-9.61414272213538,-68.17374992968026
1200179,Capixaba,-10.473683560144229,-67.83579288977211
1200203,Cruzeiro do Sul,-7.971675005254377,-72.75482858032433
1200252,Epitaciolândia,-10.889359130231433,-68.61821543702821
1200302,Feijó,-8.924435330906292,-70.74487468646781
1200328,Jordão,-9.241977157635368,-71.90600473898593
1200336,Mâncio Lima,-7.504495545004881,-73.43909929682482
1200344,Manoel Urbano,-9.381190876311164,-69.85373471899611
1200351,Marechal Thaumaturgo,-9.096148748989052,-72.55916153915162
1200385,Plácido de Castro,-10.248755735424863,-67.34026685529005
1200393,Porto Walter,-8.491822704147525,-72.73361071703634
1200401,Rio Branco,-10.065921636982893,-68.37157080095206
1200427,Rodrigues Alves,-7.843883099736499,-73.22391448985903
1200435,Santa Rosa do Purus,-9.410862928105862,-70.39615440945535
1200450,Senador Guiomard,-9.997160445924505,-67.42765167084174
1200500,Sena Madureira,-9.771305658812436,-69.38162553018262
1200609,Tarauacá,-8.239143685355529,-71.44494881757318
1200708,Xapuri,-10.575456238995814,-68.50467678667545
1200807,Porto Acre,-9.629958073303525,-67.69828804810453
1300029,Alvarães,-3.6947662488181225,-65.32479641146575
1300060,Amaturá,-3.4182347823237484,-68.28662253345783
1300086,Anamã,-3.5020799179867677,-61.71785639301461
1300102,Anori,-4.1992061147495106,-62.09611234815961
1300144,Apuí,-7.760020372084022,-59.432002263172365
1300201,Atalaia do Norte,-5.71092060057213,-71.741338840846
1300300,Autazes,-3.7871970362222753,-59.5256637946595
1300409,Barcelos,-0.4650711822183417,-63.43466415374767
1300508,Barreirinha,-3.1294661873316967,-57.17234631787193
1300607,Benjamin Constant,-5.424879400609182,-70.27588813439593
1300631,Beruri,-4.606169733432612,-61.8042498271865
1300680,Boa Vista do Ramos,-3.1378551501328724,-57.669937107839736
1300706,Boca do Acre,-8.77308112406221,-68.04746248467579
1300805,Borba,-4.9578203380103485,-59.53478006340056
1300839,Caapiranga,-3.082036415809292,-61.87760805170519
1300904,Canutama,-7.300859653112135,-64.06186195425983
1301001,Carauari,-5.118525528242213,-67.3374548732385
1301100,Careiro,-3.7709232110865254,-60.18368770078168
1301159,Careiro da Várzea,-3.2860969710927477,-59.59878909687799
1301209,Coari,-4.435989543124036,-64.12525422793435
1301308,Codajás,-3.2890541875730945,-62.97324968830098
1301407,Eirunepé,-7.02193317693239,-70.21821706819723
1301506,Envira,-7.573398952109258,-70.05519937335643
1301605,Fonte Boa,-2.490714366003855,-66.35831202055762
1301654,Guajará,-7.229780373664481,-72.84456797565814
1301704,Humaitá,-7.3613902655157695,-62.486304189390175
1301803,Ipixuna,-7.1804308622575945,-71.41282279858133
1301852,Iranduba,-3.0953292597738202,-60.47979113478307
1301902,Itacoatiara,-3.1740739202123884,-58.77554725364068
1301951,Itamarati,-6.682790134953138,-68.11283417241921
1302009,Itapiranga,-2.497201156383361,-58.613580701334485
1302108,Japurá,-1.6971383074946693,-68.32104805931128
1302207,Juruá,-3.5240847425319197,-66.30747113980289
1302306,Jutaí,-4.715256969976074,-68.40614859290763
1302405,Lábrea,-8.375511008759485,-65.81170562299988
1302504,Manacapuru,-3.2916202297136183,-60.95868527501392
1302553,Manaquiri,-3.779153393436931,-60.6973520737513
1302603,Manaus,-2.6262479396839615,-60.25951718147782
1302702,Manicoré,-6.460040334381862,-61.446961147524306
1302801,Maraã,-2.426282732871606,-65.0400551438873
1302900,Maués,-4.984502011170819,-58.0610244386088
1303007,Nhamundá,-1.6809036988872186,-57.65611285864458
1303106,Nova Olinda do Norte,-3.989530681047349,-58.59979315572666
1303205,Novo Airão,-2.0483597718017728,-61.703328589540625
1303304,Novo Aripuanã,-6.823653696109103,-60.47728314879748
1303403,Parintins,-2.688024654951174,-56.85454625287444
1303502,Pauini,-7.757713674626949,-68.1974687684868
1303536,Presidente Figueiredo,-1.370825450318568,-59.98964763501465
1303569,Rio Preto da Eva,-2.529762786573776,-59.638517248557406
1303601,Santa Isabel do Rio Negro,-0.31834018740928316,-65.52127843450072
1303700,Santo Antônio do Içá,-3.052949137964389,-69.08956072905931
1303809,São Gabriel da Cachoeira,0.3745103431492332,-67.99723162125474
1303908,São Paulo de Olivença,-4.501593186485167,-69.4509988081322
1303957,São Sebastião do Uatumã,-1.9415585073939512,-58.705611997288635
1304005,Silves,-2.820695415889416,-58.5367539022742
1304062,Tabatinga,-4.028111960143426,-69.67766186434051
1304104,Tapauá,-6.093694672181058,-64.9556555036511
1304203,Tefé,-4.469834980222314,-65.53129198888143
1304237,Tonantins,-2.6918971782307706,-67.82635535632879
1304260,Uarini,-3.1656287781503263,-65.41062021555999
1304302,Urucará,-0.8942440448081551,-59.02968126741452
1304401,Urucurituba,-2.813783935198173,-57.77107391624502
1400027,Amajari,3.7329080553541845,-62.437080547352075
1400050,Alto Alegre,3.072183597251196,-62.74218281536643
1400100,Boa Vista,3.118770263523672,-60.71764337149125
1400159,Bonfim,2.7877880202464027,-60.10046472504565
1400175,Cantá,2.2730223770535054,-60.54220171737406
1400209,Caracaraí,0.9908252817383524,-61.471578005291484
1400233,Caroebe,0.9144150996326363,-59.3379292322312
1400282,Iracema,2.1820226357382513,-62.4015762654079
1400308,Mucajaí,2.5110442036206853,-61.996331189029554
1400407,Normandia,3.878736956100406,-60.06478718303561
1400456,Pacaraima,4.1683771841685875,-60.83930802860866
1400472,Rorainópolis,0.03811997001622014,-61.01137876425148
1400506,São João da Baliza,0.6357875355658527,-59.84504775637239
1400605,São Luiz,0.8849779755233377,-60.15208107865762
1400704,Uiramutã,4.684919116041381,-60.279581304708
1500107,Abaetetuba,-1.7300489595742856,-48.882802714234444
1500131,Abel Figueiredo,-4.957204423105216,-48.42466027766321
1500206,Acará,-2.035366621335842,-48.411531099630125
1500305,Afuá,-0.26276911268373493,-50.72599143918884
1500347,Água Azul do Norte,-6.773382452479392,-50.430178133103645
1500404,Alenquer,-0.6048481700758986,-55.039030270959024
1500503,Almeirim,0.2846738306567015,-53.89364808235691
1500602,Altamira,-6.486118354783677,-53.88672347316615
1500701,Anajás,-0.8270720105887402,-49.96135807238588
1500800,Ananindeua,-1.33587369624147,-48.3841239667643
1500859,Anapu,-3.997432625515559,-51.30112998479351
1500909,Augusto Corrêa,-1.1063158419305235,-46.50803090702298
1500958,Aurora do Pará,-2.231181671591814,-47.726361073712255
1501006,Aveiro,-3.667104617382012,-56.01614521530268
1501105,Bagre,-2.372784971693606,-50.18207365098385
1501204,Baião,-3.1294701634352173,-49.698993373357716
1501253,Bannach,-7.486432319351074,-50.63357217637984
1501303,Barcarena,-1.4986866849289096,-48.63413429488622
1501402,Belém,-1.2401713036785944,-48.460125584281165
1501451,Belterra,-3.1909961012332952,-54.992966201468484
1501501,Benevides,-1.3381307619095344,-48.277228090131985
1501576,Bom Jesus do Tocantins,-5.054034808458119,-48.763569272709745
1501600,Bonito,-1.3872324725908949,-47.30217387946048
1501709,Bragança,-1.1932761995508214,-46.763600312494155
1501725,Brasil Novo,-3.2914256111903013,-52.685546144182965
1501758,Brejo Grande do Araguaia,-5.735579503772904,-48.432180841872444
1501782,Breu Branco,-3.7335131358194085,-49.3712518870694
1501808,Breves,-1.1208516241902646,-50.62808301469847
1501907,Bujaru,-1.6332296012291094,-48.09015524135452
1501956,Cachoeira do Piriá,-1.9882457706217982,-46.44317109941952
1502004,Cachoeira do Arari,-0.8693069123624981,-48.87748583730929
1502103,Cametá,-2.252721516562792,-49.51323208596645
1502152,Canaã dos Carajás,-6.424406020037827,-50.08654764267817
1502202,Capanema,-1.1420578121542688,-47.11796654521945
1502301,Capitão Poço,-2.041948416374471,-47.23364231201614
1502400,Castanhal,-1.2688634148220754,-47.87656224437833
1502509,Chaves,-0.03322485625752989,-49.84370699375044
1502608,Colares,-0.93624347439698,-48.274194239320884
1502707,Conceição do Araguaia,-8.182459545998084,-49.51289615592388
1502756,Concórdia do Pará,-1.8818664001588106,-47.9745151703403
