region_id,value
11001,307848
11002,13343
11003,299685
11004,13618
11005,100181
11006,87433
11007,346758
11008,581383
12001,0
12002,0
12003,0
12004,21446
12005,1221
13001,0
13002,0
13003,0
13004,0
13005,0
13006,0
13007,0
13008,0
13009,0
13010,0
13011,3740
13012,0
13013,10000
14001,231937
14002,88398
14003,26312
14004,0
15001,0
15002,387808
15003,0
15004,0
15005,0
15006,0
15007,0
15008,0
15009,0
15010,0
15011,0
15012,47250
15013,27492
15014,74476
15015,49550
15016,0
15017,1352368
15018,52713
15019,2025
15020,4316
15021,25076
15022,551880
16001,0
16002,4320
16003,13715
16004,0
17001,32193
17002,104386
17003,784471
17004,404804
17005,733190
17006,645432
17007,728822
17008,352088
21001,0
21002,0
21003,0
21004,0
21005,0
21006,0
21007,0
21008,226540
21009,386702
21010,0
21011,97360
21012,55703
21013,29659
21014,174069
21015,1200
21016,32755
21017,136675
21018,164030
21019,99560
21020,1606034
21021,527090
22001,3619
22002,5210
22003,0
22004,0
22005,70834
22006,0
22007,1984907
22008,150396
22009,3983
22010,772896
22011,0
22012,81974
22013,3666
22014,0
22015,0
23001,0
23002,4870
23003,0
23004,0
23005,0
23006,0
23007,0
23008,0
23009,0
23010,0
23011,0
23012,0
23013,0
23014,0
23015,0
23016,0
23017,0
23018,0
23019,0
23020,0
23021,0
23022,0
23023,2870
23024,0
23025,0
23026,0
23027,0
23028,0
23029,0
23030,0
23031,0
23032,0
23033,0
24001,0
24002,0
24003,0
24004,0
24005,0
24006,0
24007,0
24008,0
24009,0
24010,0
24011,0
24012,0
24013,0
24014,0
24015,0
24016,0
24017,0
24018,0
24019,0
25001,0
25002,0
25003,56
25004,0
25005,0
25006,0
25007,0
25008,0
25009,0
25010,0
25011,0
25012,0
25013,0
25014,0
25015,0
25016,0
25017,0
25018,0
25019,0
25020,0
25021,0
25022,0
25023,0
26001,0
26002,0
26003,0
26004,0
26005,0
26006,0
26007,0
26008,0
26009,0
26010,0
26011,0
26012,0
26013,0
26014,0
26015,0
26016,0
26017,0
26018,0
26019,0
27001,0
27002,0
27003,0
27004,0
27005,0
27006,2200
27007,0
27008,0
27009,2735
27010,0
27011,0
27012,6307
27013,0
28001,0
28002,0
28003,0
28004,0
28005,0
28006,0
28007,0
28008,0
28009,0
28010,0
28011,0
28012,0
28013,0
29001,4973919
29002,6697
29003,1070838
29004,0
29005,0
29006,144
29007,17242
29008,0
29009,0
29010,0
29011,0
29012,62
29013,0
29014,0
29015,142
29016,0
29017,0
29018,0
29019,0
29020,0
29021,0
29022,0
29023,3276
29024,0
29025,0
29026,1702
29027,0
29028,0
29029,0
29030,0
29031,0
29032,0
31001,1417365
31002,934474
31003,74628
31004,0
31005,0
31006,107475
31007,315
31008,0
31009,0
31010,585
31011,0
31012,0
31013,0
31014,0
31015,0
31016,0
31017,341204
31018,1019760
31019,597078
31020,207646
31021,226631
31022,601868
31023,854847
31024,32478
31025,3559
31026,71390
31027,7442
31028,0
31029,396
31030,0
31031,0
31032,468
31033,0
31034,1950
31035,0
31036,0
31037,0
31038,0
31039,0
31040,0
31041,0
31042,145134
31043,2543
31044,122835
31045,27414
31046,4403
31047,209473
31048,29490
31049,137055
31050,154494
31051,14966
31052,3368
31053,36648
31054,22717
31055,31570
31056,216
31057,72981
31058,118447
31059,4335
31060,0
31061,0
31062,0
31063,0
31064,0
31065,0
31066,0
32001,0
32002,0
32003,0
32004,200
32005,0
32006,0
32007,0
32008,0
32009,0
32010,0
32011,0
32012,0
32013,0
33001,0
33002,0
33003,180
33004,773
33005,0
33006,0
33007,0
33008,0
33009,0
33010,0
33011,0
33012,0
33013,0
33014,0
33015,0
33016,0
33017,0
33018,0
35001,13853
35002,9080
35003,37551
35004,88351
35005,23086
35006,17775
35007,18186
35008,3790
35009,32352
35010,293496
35011,70485
35012,32806
35013,54821
35014,35077
35015,28271
35016,26704
35017,73649
35018,105394
35019,24686
35020,53394
35021,54448
35022,328110
35023,26911
35024,62345
35025,11480
35026,20778
35027,55488
35028,12365
35029,46737
35030,67868
35031,39138
35032,13426
35033,6967
35034,7830
35035,14590
35036,172269
35037,14050
35038,30358
35039,657269
35040,351449
35041,978355
35042,168240
35043,33282
35044,141720
35045,73640
35046,25957
35047,36
35048,6750
35049,0
35050,5736
35051,7665
35052,0
35053,0
35054,0
35055,0
35056,0
35057,0
35058,0
35059,0
35060,0
35061,0
35062,0
35063,0
41001,59228
41002,171135
41003,51785
41004,461284
41005,647605
41006,281944
41007,339878
41008,162000
41009,96711
41010,328138
41011,586406
41012,158401
41013,444216
41014,365248
41015,797046
41016,207360
41017,168244
41018,286021
41019,644114
41020,419727
41021,812100
41022,380864
41023,903114
41024,158074
41025,77691
41026,255103
41027,393729
41028,338595
41029,1363967
41030,504357
41031,589530
41032,315150
41033,133560
41034,163250
41035,5441
41036,261415
41037,243725
41038,0
41039,173469
42001,69480
42002,195181
42003,433776
42004,192658
42005,21598
42006,507500
42007,41520
42008,0
42009,414976
42010,186821
42011,31460
42012,423
42013,0
42014,33897
42015,0
42016,0
42017,0
42018,4367
42019,17871
42020,7877
43001,86592
43002,158522
43003,249017
43004,424531
43005,248876
43006,22407
43007,270902
43008,350425
43009,525652
43010,772987
43011,580474
43012,159601
43013,169744
43014,103211
43015,601895
43016,8332
43017,494772
43018,356037
43019,89657
43020,148977
43021,35077
43022,460355
43023,2835
43024,233
43025,135133
43026,31424
43027,114068
43028,235538
43029,282270
43030,342540
43031,488308
43032,524830
43033,467018
43034,238122
43035,189912
50001,33790
50002,117223
50003,1152471
50004,1461401
50005,1233780
50006,28206
50007,137495
50008,114299
50009,453257
50010,3428338
50011,378351
51001,1056908
51002,421211
51003,1061847
51004,5048403
51005,2642680
51006,7867757
51007,3285920
51008,1794755
51009,3247295
51010,3984373
51011,269454
51012,546002
51013,446777
51014,47004
51015,199585
51016,123209
51017,278909
51018,87693
51019,1924728
51020,1022616
51021,1858561
51022,809700
52001,189198
52002,187972
52003,443540
52004,522747
52005,203187
52006,90639
52007,161543
52008,97826
52009,219880
52010,212513
52011,79510
52012,2260410
52013,5093250
52014,1446800
52015,1687129
52016,925641
52017,1244784
52018,149575
53001,303120
